78.27, 2.2433E-7, 9.9996E+0, -9.9992E+0, 9.90672E-3, -1.63474E-2, 1.3128E-3, 4.6242E-7, -1.8707E+35
78.44, 2.2475E-7, 9.9996E+0, -9.9992E+0, 9.98927E-3, -1.63138E-2, 1.3152E-3, 5.2116E-7, -1.9507E+35
86.45, 2.8084E-7, 9.9996E+0, -9.9992E+0, 1.40467E-2, -1.88213E-2, 1.6435E-3, 4.2089E-7, -1.9292E+35
87.55, 2.9212E-7, 9.9996E+0, -9.9992E+0, 1.43470E-2, -1.98409E-2, 1.7095E-3, 4.4284E-7, -1.8769E+35
90.82, 3.1456E-7, 9.9996E+0, -9.9992E+0, 1.57977E-2, -2.10160E-2, 1.8408E-3, 2.2147E-7, -1.8569E+35
89.14, 3.0312E-7, 9.9996E+0, -9.9992E+0, 1.63984E-2, -1.90774E-2, 1.7739E-3, 1.2772E-6, -1.8153E+35
90.50, 3.1425E-7, 9.9996E+0, -9.9992E+0, 1.68736E-2, -1.99045E-2, 1.8390E-3, 2.6109E-6, -1.8646E+35
90.92, 3.1701E-7, 9.9996E+0, -9.9992E+0, 1.76287E-2, -1.94725E-2, 1.8552E-3, 4.3949E-7, -1.8569E+35
89.72, 3.1371E-7, 9.9996E+0, -9.9992E+0, 1.72048E-2, -1.95096E-2, 1.8358E-3, 1.5013E-6, -1.8799E+35
91.88, 3.1787E-7, 9.9996E+0, -9.9992E+0, 1.55739E-2, -2.16276E-2, 1.8602E-3, 1.2286E-5, -1.8646E+35
92.31, 3.2427E-7, 9.9996E+0, -9.9992E+0, 1.56855E-2, -2.22650E-2, 1.8976E-3, 1.7993E-7, -1.8092E+35
92.94, 3.2919E-7, 9.9996E+0, -9.9992E+0, 1.60052E-2, -2.25214E-2, 1.9264E-3, 2.8432E-6, -1.8323E+35
93.46, 3.3335E-7, 9.9996E+0, -9.9992E+0, 1.62791E-2, -2.27337E-2, 1.9508E-3, 4.0930E-7, -1.8184E+35
94.26, 3.3884E-7, 9.9996E+0, -9.9992E+0, 1.71364E-2, -2.25196E-2, 1.9829E-3, 3.8164E-7, -1.8199E+35
94.50, 3.3998E-7, 9.9996E+0, -9.9992E+0, 1.74291E-2, -2.23597E-2, 1.9896E-3, 2.9308E-7, -1.8676E+35
94.68, 3.4130E-7, 9.9996E+0, -9.9992E+0, 1.92182E-2, -2.07249E-2, 1.9973E-3, 1.8772E-6, -1.7953E+35
95.85, 3.5021E-7, 9.9996E+0, -9.9992E+0, 2.02971E-2, -2.06897E-2, 2.0495E-3, 4.1406E-6, -1.7599E+35
97.43, 3.6255E-7, 9.9996E+0, -9.9992E+0, 1.88141E-2, -2.36159E-2, 2.1216E-3, 2.1107E-7, -1.7861E+35
97.73, 3.6476E-7, 9.9996E+0, -9.9992E+0, 1.84883E-2, -2.42011E-2, 2.1346E-3, 5.0817E-7, -1.7676E+35
98.56, 3.6910E-7, 9.9996E+0, -9.9992E+0, 1.85176E-2, -2.46798E-2, 2.1600E-3, 4.3085E-7, -1.8215E+35
102.25, 3.9683E-7, 9.9996E+0, -9.9992E+0, 2.02126E-2, -2.62293E-2, 2.3222E-3, 1.7037E-7, -1.7430E+35
