## http://sheat.phys.tohoku.ac.jp/~tmatsu/demae/demae.shtml
## Temp(K), rho(Ohm*cm), I+(mA), I-(mA), V+(mV), V-(mV), R(Ohm), errR(Ohm), Rprobe(Ohm)
78.40, 8.0298E+2, 9.9997E-4, -9.9992E-4, 1.11027E+1, -1.10989E+1, 1.1101E+4, 5.2611E+3, -2.4864E+39
78.32, 8.0423E+2, 9.9997E-4, -9.9992E-4, 1.11207E+1, -1.11156E+1, 1.1119E+4, 3.3048E+3, -2.4807E+39
86.17, 4.0653E+2, 9.9997E-4, -9.9992E-4, 5.48185E+0, -5.75847E+0, 5.6205E+3, 6.9381E+4, -2.4713E+39
87.07, 3.3478E+2, 9.9997E-4, -9.9992E-4, 4.64757E+0, -4.60877E+0, 4.6284E+3, 8.4885E+3, -2.4732E+39
91.03, 2.2032E+2, 9.9997E-4, -9.9992E-4, 3.04943E+0, -3.04217E+0, 3.0460E+3, 5.2593E+2, -2.5145E+39
89.59, 2.2537E+2, 9.9997E-4, -9.9992E-4, 3.15517E+0, -3.07600E+0, 3.1157E+3, 7.0777E+3, -2.5446E+39
89.69, 2.7721E+2, 9.9997E-4, -9.9992E-4, 3.96323E+0, -3.70135E+0, 3.8325E+3, 3.4595E+4, -2.4789E+39
91.08, 2.1688E+2, 9.9997E-4, -9.9992E-4, 2.99044E+0, -3.00609E+0, 2.9984E+3, 2.7848E+3, -2.5202E+39
90.98, 2.1850E+2, 9.9997E-4, -9.9992E-4, 3.05741E+0, -2.98386E+0, 3.0208E+3, 6.7896E+3, -2.5089E+39
91.40, 2.2405E+2, 9.9997E-4, -9.9992E-4, 3.08848E+0, -3.10641E+0, 3.0976E+3, 1.2353E+4, -2.4789E+39
92.22, 1.9501E+2, 9.9997E-4, -9.9992E-4, 2.69954E+0, -2.69220E+0, 2.6960E+3, 8.1609E+2, -2.4451E+39
92.60, 1.8899E+2, 9.9997E-4, -9.9992E-4, 2.61212E+0, -2.61334E+0, 2.6129E+3, 6.1681E+2, -2.4488E+39
93.28, 1.7818E+2, 9.9997E-4, -9.9992E-4, 2.46033E+0, -2.46619E+0, 2.4634E+3, 9.1906E+2, -2.4451E+39
94.12, 1.6423E+2, 9.9997E-4, -9.9992E-4, 2.26580E+0, -2.27496E+0, 2.2705E+3, 1.4600E+3, -2.4244E+39
94.51, 1.5786E+2, 9.9996E-2, -9.9992E-2, 2.18155E+2, -2.18299E+2, 2.1824E+3, 1.9232E+2, -1.5204E+37
94.62, 1.5827E+2, 9.9996E-2, -9.9992E-2, 2.19717E+2, -2.17881E+2, 2.1881E+3, 1.3885E+3, -1.5528E+37
95.15, 1.6288E+2, 9.9995E-2, -9.9992E-2, 2.26925E+2, -2.23409E+2, 2.2518E+3, 4.4722E+3, -1.5012E+37
97.38, 1.2021E+2, 9.9996E-2, -9.9992E-2, 1.65938E+2, -1.66429E+2, 1.6619E+3, 2.9885E+2, -1.5348E+37
97.56, 1.1735E+2, 9.9996E-2, -9.9992E-2, 1.62509E+2, -1.61954E+2, 1.6224E+3, 3.4813E+2, -1.5528E+37
98.19, 1.1290E+2, 9.9995E-2, -9.9992E-2, 1.56012E+2, -1.56146E+2, 1.5609E+3, 3.4693E+2, -1.5156E+37
101.69, 8.4240E+1, 9.9995E-2, -9.9992E-2, 1.15619E+2, -1.17297E+2, 1.1646E+3, 7.0860E+2, -1.4988E+37
104.74, 6.5790E+1, 9.9995E-2, -9.9992E-2, 9.04867E+1, -9.14156E+1, 9.0957E+2, 3.4159E+2, -1.4903E+37
109.73, 4.4407E+1, 9.9995E-2, -9.9992E-2, 6.10731E+1, -6.17064E+1, 6.1393E+2, 1.3804E+2, -1.4819E+37
114.72, 3.0567E+1, 9.9995E-2, -9.9992E-2, 4.20374E+1, -4.24777E+1, 4.2260E+2, 7.1866E+1, -1.4879E+37
119.36, 2.2609E+1, 9.9995E-2, -9.9992E-2, 3.11887E+1, -3.13238E+1, 3.1258E+2, 1.6750E+1, -1.4795E+37
124.82, 1.5915E+1, 9.9995E-2, -9.9993E-2, 2.18804E+1, -2.21237E+1, 2.2003E+2, 1.8502E+1, -1.4315E+37
128.85, 1.2502E+1, 9.9995E-1, -9.9992E-1, 1.73125E+2, -1.72537E+2, 1.7284E+2, 1.9601E+0, -1.5057E+36
134.51, 9.2892E+0, 9.9995E-1, -9.9993E-1, 1.27961E+2, -1.28876E+2, 1.2843E+2, 4.0851E+0, -1.4519E+36
139.25, 7.3474E+0, 9.9995E-1, -9.9992E-1, 1.01271E+2, -1.01878E+2, 1.0158E+2, 2.3224E+0, -1.4596E+36
147.15, 5.1473E+0, 9.9995E-1, -9.9992E-1, 7.08655E+1, -7.14519E+1, 7.1163E+1, 1.5967E+0, -1.4634E+36
154.81, 3.7623E+0, 9.9995E-1, -9.9993E-1, 5.18527E+1, -5.21700E+1, 5.2014E+1, 6.1972E-1, -1.4288E+36
162.97, 2.8227E+0, 9.9995E-1, -9.9993E-1, 3.88986E+1, -3.91471E+1, 3.9025E+1, 3.4953E-1, -1.3903E+36
170.84, 2.2345E+0, 9.9995E-1, -9.9993E-1, 3.07780E+1, -3.10036E+1, 3.0893E+1, 2.7743E-1, -1.4038E+36
178.99, 1.7775E+0, 9.9995E-1, -9.9993E-1, 2.44901E+1, -2.46556E+1, 2.4574E+1, 1.4374E-1, -1.3577E+36
186.39, 1.4553E+0, 9.9995E-1, -9.9993E-1, 2.01453E+1, -2.00917E+1, 2.0120E+1, 2.8502E-2, -1.3403E+36
194.50, 1.2288E+0, 9.9995E-1, -9.9993E-1, 1.69324E+1, -1.70436E+1, 1.6989E+1, 6.6270E-2, -1.0730E+36
202.49, 1.0554E+0, 9.9995E-1, -9.9993E-1, 1.45430E+1, -1.46374E+1, 1.4591E+1, 4.9629E-2, -1.0211E+36
209.95, 9.3090E-1, 9.9995E-1, -9.9993E-1, 1.28323E+1, -1.29060E+1, 1.2870E+1, 3.2439E-2, -1.0327E+36
218.07, 8.2413E-1, 9.9995E-1, -9.9993E-1, 1.13565E+1, -1.14300E+1, 1.1394E+1, 3.0753E-2, -1.0057E+36
226.23, 7.3532E-1, 9.9995E-1, -9.9993E-1, 1.01415E+1, -1.01894E+1, 1.0166E+1, 1.9626E-2, -1.0134E+36
234.30, 6.6771E-1, 9.9995E-1, -9.9993E-1, 9.20993E+0, -9.25153E+0, 9.2313E+0, 1.4565E-2, -9.8459E+35
241.97, 6.1463E-1, 9.9995E-1, -9.9993E-1, 8.48039E+0, -8.51353E+0, 8.4975E+0, 1.1253E-2, -9.0959E+35
250.09, 5.7068E-1, 9.9995E-1, -9.9993E-1, 7.87407E+0, -7.90463E+0, 7.8898E+0, 8.6991E-3, -9.3651E+35
257.84, 5.3634E-1, 9.9995E-1, -9.9993E-1, 7.40344E+0, -7.42597E+0, 7.4151E+0, 6.5465E-3, -8.5959E+35
266.00, 5.0495E-1, 9.9995E-1, -9.9993E-1, 6.97268E+0, -6.98881E+0, 6.9812E+0, 4.6907E-3, -8.4228E+35
274.34, 4.7864E-1, 9.9995E-1, -9.9993E-1, 6.61300E+0, -6.62089E+0, 6.6173E+0, 2.8061E-3, -7.9613E+35
282.51, 4.5803E-1, 9.9995E-1, -9.9993E-1, 6.33378E+0, -6.33025E+0, 6.3324E+0, 3.7458E-3, -8.4613E+35
